altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A
2807	16	134	26	1384	222	202	110	1226	0
3366	4	607	81	1820	226	234	144	1914	1
2937	18	655	291	1387	171	242	210	1976	0
3208	21	391	67	2343	197	190	124	1332	0
3627	29	1082	403	2538	218	165	63	1338	1
3091	8	180	-5	2207	230	226	130	2301	0
3109	1	192	28	1572	220	237	153	3034	0
3157	19	210	16	2405	242	234	114	1591	0
2951	13	551	0	2094	212	213	136	2860	0
2931	11	484	0	1978	211	216	141	2998	0
3132	13	150	-7	2469	241	232	116	1676	0
3055	11	457	-12	1974	192	243	191	2430	0
3392	22	243	74	3956	233	189	79	755	1
3117	9	365	36	1465	230	223	126	2812	0
3092	2	351	27	2462	217	241	161	2468	0
2711	23	277	127	1774	229	243	133	1316	0
3133	9	323	26	2143	235	237	133	2642	0
2730	26	240	-34	2046	198	173	99	842	0
2790	26	390	153	926	231	177	62	816	0
3117	7	379	1	2213	200	236	176	2630	0
3110	14	474	112	2708	212	209	132	2682	0
3024	15	579	-95	1734	178	229	190	1855	0
3159	11	228	-12	2886	235	218	115	1982	0
3129	13	108	11	2925	234	215	111	2076	0
3514	14	875	229	2467	244	222	104	1159	1
3014	19	618	-105	1725	164	236	211	1783	0
3149	3	210	40	1806	218	232	151	2596	0
3111	12	361	35	2698	225	213	120	2808	0
2919	12	175	46	1950	234	218	115	2210	0
3127	8	247	11	1976	202	241	179	2662	0
2842	11	201	7	1842	198	222	162	1694	0
2912	12	603	273	769	240	224	113	541	0
3148	6	255	36	1657	216	246	166	2451	0
3158	9	404	43	2912	224	220	130	2743	0
3171	22	183	81	1071	251	214	79	1159	1
3523	8	902	309	2619	235	229	126	1024	1
3197	16	295	63	3349	197	208	146	2550	0
2631	20	30	17	2384	161	222	200	1245	0
3439	6	745	154	2308	228	229	136	1380	1
2836	19	395	187	1092	229	197	93	663	0
3119	8	150	10	1476	198	243	184	2173	0
2963	21	600	94	2336	190	193	135	1872	0
2638	10	0	0	2529	223	217	128	1130	0
3024	17	270	-16	636	243	209	90	633	1
2969	18	273	10	497	244	207	87	484	1
2712	11	190	43	2670	230	217	119	800	0
2964	18	759	95	2340	211	197	117	1299	0
2889	18	510	171	2541	245	208	85	362	0
2854	9	446	182	1082	235	225	121	626	0
2848	15	335	50	2764	203	207	139	67	0
3045	21	977	176	2580	200	189	120	1353	0
3274	13	323	108	1556	238	218	108	1520	1
3189	11	134	5	785	200	222	161	1630	0
3208	14	108	10	3318	211	209	131	3363	0
2748	14	42	1	3009	230	210	110	800	0
2933	22	42	-12	526	240	193	73	458	1
3061	9	268	35	2101	231	241	142	1549	0
3227	7	300	10	360	232	233	133	1448	0
3027	15	1206	261	2809	223	205	112	1034	0
3282	13	256	49	1840	235	241	135	1595	1
3205	10	859	78	3183	233	240	138	2673	0
3206	3	0	0	2725	223	239	151	805	1
2961	18	120	10	616	234	201	94	607	1
3216	9	30	-2	2818	236	232	127	752	1
3059	13	1187	261	3025	218	210	125	1061	0
3272	13	134	15	3121	226	247	151	918	1
3055	9	210	-7	990	234	227	124	914	1
2798	4	553	68	2814	224	231	143	1774	0
3134	21	1065	124	3187	207	253	173	2213	0
3147	9	67	14	1504	224	220	129	1381	1
3370	10	475	102	3327	217	249	166	162	0
2935	13	516	156	3182	207	213	142	792	0
3173	16	360	34	2266	225	248	150	815	1
3039	9	30	0	1105	235	233	129	1057	1
2971	14	127	17	2312	229	245	144	1074	0
3112	5	228	31	1233	205	239	174	1401	0
3347	13	376	79	3409	216	251	167	272	0
3379	14	853	143	1050	181	232	191	2098	0
3037	18	1075	152	3178	230	245	139	1498	0
2927	19	510	132	3045	221	195	101	1008	0
2732	10	0	0	2234	193	241	188	484	0
3033	21	120	22	1048	228	191	88	1050	1
3192	10	120	-6	2337	239	232	124	984	1
3107	10	108	0	1991	227	245	149	560	1
2777	21	60	18	2419	156	230	212	371	0
2969	23	67	58	2431	220	183	87	847	0
3010	17	1026	165	2941	173	244	209	1326	0
3195	9	577	94	834	201	247	184	811	0
2543	8	309	40	930	228	223	128	1387	0
3069	26	417	2	1699	234	236	115	1409	1
3273	15	819	157	2430	245	226	106	2423	0
2961	11	560	31	2833	226	246	151	2311	0
3111	8	42	6	1854	233	227	126	395	1
3122	16	324	52	1825	211	253	173	752	1
3391	8	1006	134	1130	201	245	182	2051	0
3152	7	60	-7	1879	230	228	132	426	1
3260	14	810	144	2310	243	224	107	2457	0
3018	21	300	37	1830	236	240	125	1480	1
3233	19	228	84	3035	195	254	190	882	0
3251	13	391	49	2630	229	245	146	1253	0
2972	17	67	11	2506	171	227	195	780	0
2950	16	713	150	2613	229	246	143	1600	0
3223	9	372	50	825	198	243	185	277	0
3240	10	433	59	789	194	241	187	391	0
3385	9	793	178	1140	208	248	177	2132	0
3356	13	598	150	1465	223	249	156	1806	0
3193	8	201	19	990	204	246	180	95	0
2972	8	30	-1	2051	229	224	128	3278	0
3329	19	480	123	1805	214	252	164	1489	0
3215	4	201	13	2512	227	238	147	1348	0
3160	12	450	67	1894	233	215	112	3125	0
2956	40	492	35	2846	99	163	185	366	0
2563	7	60	5	1252	214	226	148	2424	0
3184	22	361	112	1307	211	186	102	212	1
2860	11	95	16	2222	220	248	161	2357	0
3298	8	330	3	1207	219	247	163	1201	0
3357	14	524	199	2505	212	252	172	872	0
3243	13	182	41	1170	213	251	171	569	0
3239	24	467	176	1087	196	183	115	433	1
3172	29	309	100	1090	188	165	98	624	1
3114	16	457	97	1638	215	204	122	3605	0
3056	6	484	59	2885	223	227	139	828	0
3123	9	350	-1	1803	194	236	181	785	0
2656	20	255	64	1505	193	194	133	2780	0
3290	8	247	49	1302	206	226	158	616	1
3295	23	495	96	3000	232	241	127	685	0
3315	17	560	101	1061	192	208	152	532	1
3140	5	0	0	1848	218	244	163	2005	0
2784	14	323	27	1836	242	231	115	2110	0
3132	15	124	0	2058	180	226	185	933	0
3388	12	604	106	1261	235	216	111	2707	0
3313	21	977	203	1440	158	236	217	2821	0
2997	14	480	102	1760	236	213	106	3166	0
3088	13	524	143	1557	209	213	139	3218	0
2925	27	210	55	2754	141	239	231	840	0
3224	8	540	148	907	223	223	134	1176	1
2835	16	0	0	2496	175	223	187	940	0
3104	7	323	0	2489	202	243	180	872	0
3252	13	721	142	1318	189	244	193	2724	0
3165	17	201	69	3032	215	252	166	993	0
3191	4	569	18	1794	213	233	158	335	0
3270	7	42	-1	1736	201	243	181	1355	0
3020	11	309	87	3132	204	250	182	1053	0
3111	15	30	0	2784	228	246	145	1242	0
3304	11	30	2	1466	225	247	153	1318	1
3271	9	319	16	1747	206	226	158	1176	0
3275	7	213	6	1777	207	230	161	1273	0
3294	10	60	12	1744	192	243	190	1530	0
3190	10	666	53	1999	194	229	175	573	0
3075	14	271	63	2177	211	253	173	1818	0
3061	16	752	-13	1476	218	204	117	2807	0
3047	27	234	26	2635	251	213	71	1477	0
3003	16	60	-3	2443	246	224	101	1613	0
3091	14	450	79	1991	205	253	181	1998	0
3049	15	61	-8	1530	216	251	165	2367	0
3226	12	731	89	2123	186	233	186	674	0
3322	14	488	94	1890	180	230	189	966	0
3341	13	170	33	1813	188	246	197	1853	0
3106	23	228	85	3064	208	252	166	1300	0
2871	8	541	92	1218	215	224	145	2663	0
3003	8	825	184	1140	220	223	138	2442	0
3328	20	816	100	2147	165	213	185	927	0
2883	16	95	11	1972	181	220	178	1897	0
3158	3	30	0	481	224	238	150	1415	1
3228	14	492	157	3308	208	212	139	1746	0
3280	13	430	5	2602	184	237	193	571	0
2881	10	134	2	1718	224	246	155	2397	0
3305	10	417	116	1209	212	219	143	1825	1
3270	10	351	-3	2697	197	247	189	532	0
2995	6	0	0	2746	229	231	136	1983	0
3380	13	366	88	2649	196	251	191	1110	0
3041	32	300	115	1996	114	207	224	1638	0
2999	6	30	0	2738	218	228	146	2069	0
3247	3	162	-2	2954	210	239	168	430	0
3425	15	466	56	2734	242	234	117	1724	0
3193	5	42	2	361	227	230	137	1950	1
3296	12	624	259	3756	239	223	111	2200	0
2881	32	108	59	2220	254	195	42	1617	0
3193	20	108	9	3006	221	249	153	313	0
3216	10	42	-2	513	231	221	123	2102	1
3358	19	418	57	2995	211	252	169	1368	0
2904	33	85	35	2130	253	195	41	1612	0
3379	11	247	44	3000	213	250	171	1892	0
3278	11	240	4	1021	220	215	128	2401	1
2964	12	404	29	2007	228	215	118	895	0
2958	8	300	148	1961	213	224	150	1116	0
3154	13	408	117	2118	204	252	183	983	0
3335	12	213	42	1195	213	214	136	2576	1
2984	7	451	63	1724	204	232	167	633	0
2982	9	573	0	1928	201	244	182	1082	0
3302	29	480	266	3959	252	209	62	2673	0
3329	12	417	48	1050	205	216	148	2589	1
3069	23	679	252	1932	161	247	220	752	0
3143	5	150	27	454	229	237	142	2256	1
3115	11	60	7	481	228	245	149	1986	1
3373	26	300	144	3829	234	236	115	3032	0
3183	12	182	20	2766	228	245	147	1060	0
3036	27	426	219	1678	165	252	213	547	0
3160	13	212	20	661	240	233	120	2271	1
3160	25	277	108	3165	153	201	183	3004	0
3293	10	331	47	3480	194	243	188	1812	0
3358	9	240	42	3722	201	247	184	1991	0
3213	11	757	69	2574	219	217	134	3256	0
3138	16	60	11	2405	208	253	176	872	0
3114	12	60	11	2207	218	250	164	711	0
3113	14	85	13	3705	181	232	191	3151	0
2817	6	86	3	1277	216	227	147	631	0
3234	11	661	84	2620	213	217	140	3371	0
3293	9	30	0	1549	235	237	132	3072	1
3322	21	30	6	3630	159	237	216	1765	0
3145	18	150	39	3805	186	206	157	3302	0
3069	17	319	44	1615	213	252	168	576	0
3119	20	120	35	2021	163	218	193	499	0
3181	5	91	9	2716	206	237	171	1215	0
3097	9	30	2	1668	214	220	141	3092	0
2885	16	323	72	1024	225	205	109	691	0
3233	20	153	35	2886	166	220	194	1302	0
3179	13	30	1	4250	212	214	136	3492	0
3095	21	721	54	1104	156	229	211	957	0
3380	14	361	73	3658	181	236	195	1698	0
3226	28	85	37	4260	150	184	165	3606	0
3308	5	0	0	4420	223	243	155	3883	0
3251	16	125	22	3228	188	251	199	1332	0
3149	9	417	33	1871	214	222	144	2700	0
3126	13	446	109	1583	216	210	128	2742	0
3107	10	594	92	1409	196	230	173	2260	0
3181	15	306	52	2167	211	205	127	2703	0
3060	14	30	11	808	223	209	117	1677	0
2994	16	86	16	324	194	210	152	759	1
3117	7	90	12	2058	201	234	173	726	0
3048	6	0	0	1638	204	238	173	216	0
3116	4	60	2	927	210	237	164	1722	1
3007	19	67	25	228	180	209	166	738	1
3188	15	497	62	2083	212	210	133	2556	0
3359	18	457	97	4460	222	249	153	2724	0
3076	15	191	27	552	245	225	106	1315	1
3079	6	648	20	372	230	236	139	1148	0
2974	19	363	154	488	222	196	101	743	0
3108	6	285	49	1718	214	228	151	624	0
3281	16	361	49	4492	224	248	153	2460	0
2902	25	234	79	408	196	178	108	426	0
3050	9	778	-7	162	223	247	157	1034	0
2975	11	475	151	366	229	218	121	524	0
3168	20	60	0	1376	243	235	111	2377	1
2932	24	234	99	874	180	255	201	735	0
3225	11	242	32	4133	228	245	147	2117	0
3206	33	300	39	2955	207	241	141	934	0
3137	16	576	91	240	240	210	95	1385	1
2964	17	268	60	1158	208	253	175	451	0
2892	17	150	45	920	186	252	201	211	0
3205	19	277	40	4025	165	233	207	2154	0
3180	4	243	53	2761	213	244	169	1032	0
3323	15	808	166	1103	234	242	135	1401	0
2924	10	120	58	1180	220	217	131	680	0
3158	16	421	120	360	245	221	100	1790	1
3341	1	404	112	1630	221	237	152	2915	1
3037	12	150	2	2654	189	246	195	1358	0
3295	17	212	37	1597	233	243	136	2854	1
3024	1	313	-9	2568	218	239	158	1438	0
2994	7	60	0	296	231	238	139	1776	0
3255	18	60	10	1557	231	244	137	2706	1
3024	30	212	43	108	154	175	149	1317	0
3042	11	361	137	2667	213	217	140	1599	0
2971	25	150	70	2479	184	254	195	1637	0
2960	13	42	-2	934	230	212	112	1395	0
2997	9	42	1	1116	227	222	128	1358	0
3047	20	616	277	895	163	227	204	1471	0
3140	17	553	61	1041	188	209	158	1544	0
3070	20	234	65	537	170	209	177	1800	0
3323	16	1158	402	3649	188	251	199	2524	0
3088	20	90	13	1024	205	193	119	1170	0
3155	14	240	38	484	243	229	112	1584	0
3049	20	150	12	1291	198	196	130	1410	0
3012	19	150	36	1507	205	197	123	1455	0
2959	10	376	-3	765	224	218	128	1706	0
3120	17	582	200	3127	189	252	199	2347	0
3048	31	404	235	1140	119	203	215	1245	0
3099	19	532	294	1144	167	223	194	1209	0
3147	12	983	381	1282	187	232	185	1271	0
3007	23	175	89	2589	208	182	101	2077	0
2864	22	228	50	2002	205	187	110	1489	0
3074	9	127	8	1463	212	222	147	1800	0
2930	13	120	47	570	184	238	194	1869	0
3093	28	469	185	2375	229	170	56	2100	0
3138	15	150	32	824	219	206	119	1983	0
3106	21	510	197	2312	213	190	105	2191	0
2947	6	285	70	691	219	228	145	1849	0
3152	12	285	82	2147	201	217	155	2026	0
3224	11	201	19	1510	208	219	147	1020	0
3237	9	591	34	1627	202	247	182	1260	0
3073	32	446	246	1380	115	204	220	1048	0
3182	26	537	41	150	139	214	211	2255	0
3223	10	765	182	1033	218	218	134	1966	0
3237	6	201	9	1592	218	226	144	1040	0
3234	18	607	158	902	201	200	133	2002	0
3215	9	295	13	1718	216	222	142	1364	0
3152	24	361	65	1598	167	194	160	2056	0
3008	41	366	171	1578	94	158	184	1003	0
3251	8	600	48	1867	211	225	151	997	0
3265	15	976	139	1747	181	224	183	702	0
3234	23	457	99	430	154	240	223	2429	0
3024	19	577	-34	1138	186	201	150	1986	0
2794	16	60	13	2016	192	253	196	1860	0
3303	19	908	175	1093	177	207	166	2308	0
3250	11	560	43	1758	215	215	136	2616	0
2863	11	0	0	2563	189	243	193	2244	0
2839	13	60	14	2455	186	225	178	2200	0
3203	23	190	7	1598	236	187	70	2343	0
2920	18	510	151	1771	241	205	88	2010	0
2862	18	120	5	2514	174	219	184	2268	0
2994	18	780	228	1667	213	198	115	2088	0
3048	12	60	11	2616	202	219	153	876	0
3266	15	515	59	1597	231	207	105	2778	0
3244	8	631	37	1626	228	224	129	2858	0
3193	20	598	266	1692	249	214	85	2868	0
3304	18	655	90	849	222	249	152	2681	0
3128	13	60	16	1620	194	217	161	2322	0
3292	11	361	78	914	229	245	145	2642	0
3240	12	162	29	1150	195	224	168	2550	0
2858	11	42	4	2696	210	217	144	2405	0
3183	18	67	3	1749	210	199	119	2300	0
2843	15	90	21	2588	177	240	202	2244	0
2869	12	30	7	2845	199	220	159	2313	0
3223	20	811	131	408	208	253	171	2754	0
3261	19	485	47	726	230	245	138	2533	0
3039	27	301	103	1602	245	181	47	2608	0
3066	23	420	41	2255	238	189	70	1836	0
3235	6	552	28	1065	227	241	148	2333	0
3143	10	616	50	190	220	248	161	2605	0
3263	13	277	56	2101	241	232	118	1931	0
3340	16	350	103	2185	246	219	97	2044	0
2898	10	201	41	2938	195	229	173	1926	0
2994	15	60	11	3483	175	234	199	1854	0
3285	9	569	134	3111	206	225	158	793	0
3002	5	467	40	1521	225	230	140	2264	0
3038	15	30	-4	2641	238	212	102	1342	0
3053	12	124	-5	3701	188	230	181	1718	0
3221	14	30	1	2460	222	210	119	1584	0
3078	13	420	37	969	230	213	114	1773	0
2971	5	150	1	1440	213	230	155	2086	0
3017	23	446	110	3328	162	201	174	1530	0
3122	18	218	53	3780	217	197	110	2081	0
3256	16	722	37	3568	178	224	185	1233	0
3190	13	400	72	2860	209	212	138	960	0
3163	17	466	107	3758	187	209	159	1825	0
3305	19	589	21	3001	230	196	91	1062	0
3179	20	516	120	3144	239	199	82	691	0
3285	17	700	184	3157	202	204	137	716	0
3311	13	636	199	3246	211	211	134	642	0
3038	10	85	-1	3448	227	218	124	642	0
3029	10	30	8	3482	217	219	136	700	0
3193	16	192	38	4013	174	243	207	1426	0
3015	13	60	11	722	241	223	109	1211	0
3142	17	192	18	3671	247	224	100	192	0
3248	19	85	14	4403	181	205	159	1383	0
3178	17	192	16	3949	246	222	100	524	0
3166	4	42	1	4078	224	231	143	511	0
3164	12	124	11	4124	195	222	166	342	0
3213	14	67	10	4315	200	215	152	495	0
3290	17	513	38	4512	189	207	154	916	0
3185	3	124	4	4352	225	237	148	979	0
3185	9	127	7	4437	195	233	177	793	0
3272	11	60	10	4650	194	227	173	836	0
3276	10	446	96	4726	192	242	189	983	0
2845	32	594	75	4220	239	221	84	1664	0
2815	32	180	5	2512	187	247	173	1591	0
2871	28	295	76	2123	183	253	191	1516	0
2655	8	150	27	3312	233	229	129	2389	0
2583	12	95	13	2934	220	213	126	2543	0
2725	16	60	-9	860	225	248	150	642	0
2616	27	240	-118	870	197	252	175	850	0
2572	9	150	17	2412	206	223	155	2476	0
2582	20	85	20	2126	185	199	149	2269	0
2628	30	335	199	323	198	248	166	850	0
2570	16	190	93	1194	213	204	125	1530	0
2605	13	255	7	1684	211	212	135	2006	0
2682	24	371	120	2010	199	182	111	2240	0
2568	11	60	9	960	232	242	141	1590	0
2645	30	30	19	2401	137	184	176	2240	0
2726	24	95	11	1786	238	185	63	1951	0
2629	13	247	4	1142	220	211	123	1650	0
2708	17	85	12	1786	231	202	97	1328	0
2865	11	30	-5	3507	235	240	134	2118	0
2967	18	497	162	2830	230	199	97	1495	0
2696	8	210	0	1668	234	233	131	1233	0
2847	17	85	0	3520	246	218	96	2006	0
2936	15	342	131	2845	243	232	115	1189	0
2799	6	258	81	2334	226	242	149	658	0
2783	20	212	50	3006	248	207	80	1368	0
2788	23	309	55	3022	253	211	74	1406	0
2651	6	30	3	1804	221	227	141	277	0
2605	13	190	-1	1530	233	214	111	484	0
2599	8	213	79	1124	229	223	127	666	0
